X,Y,OBJECTID,Site_Name,Site_Score,Site_EPA_ID,SEMS_ID,SITS_ID,Region_ID,State,City,County,Status,Longitude,Latitude,Proposed_Date,Listing_Date,Construction_Completion_Date,Construction_Completion_Number,NOID_Date,Deletion_Date,Site_Listing_Narrative,Site_Progress_Profile,Notice_of_Data_Availability,Proposed_FR_Notice,Deletion_FR_Notice,Final_FR_Notice,NOID_FR_Notice,Restoration_FR_Notice_Jumper_Pa,Site_has_had_a_Partial_Deletion,CreationDate,Creator,EditDate,Editor,ObjectId2
-8273202.66211921,4936632.81042081,,Horseshoe Road,51.37,NJD980663678,200781,1373,2,New Jersey,Sayreville,Middlesex,NPL Site,-74.319444,40.484722,5/10/1993,9/29/1995,7/25/2022,1233,,,"<a href=""https://semspub.epa.gov/src/document/02/363445"" target=""_blank"">NJD980663678 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200781"" target=""_blank"">Horseshoe Road</a>",,"<a href=""https://semspub.epa.gov/src/document/11/189655"" target=""_blank"">05/10/1993 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-09-29/pdf/95-24415.pdf"" target=""_blank"">09/29/1995 (PDF)</a>",,,No,,,,,1061
-8351744.79676535,4807181.82524032,,Franklin Burn,40.67,NJD986570992,204087,1455,2,New Jersey,Franklin Township,Gloucester,NPL Site,-75.025,39.594444,10/2/1995,6/17/1996,7/18/2003,854,,,"<a href=""https://semspub.epa.gov/src/document/02/363458"" target=""_blank"">NJD986570992 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204087"" target=""_blank"">Franklin Burn</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,No,,,,,1062
-8362536.55348081,4854283.34772684,,Welsbach & General Gas Mantle (Camden Radiation),41.46,NJD986620995,203580,1460,2,New Jersey,"Camden, Gloucester City",Camden,NPL Site,-75.121944,39.919722,10/2/1995,6/17/1996,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363460"" target=""_blank"">NJD986620995 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203580"" target=""_blank"">Welsbach & General Gas Mantle (Camden Radiation)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1995-10-02/pdf/95-24414.pdf"" target=""_blank"">10/02/1995 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-06-17/pdf/96-15032.pdf"" target=""_blank"">06/17/1996 (PDF)</a>",,,No,,,,,1063
-8241476.60724313,4974964.9132732,,Grand Street Mercury,,NJ0001327733,204030,1485,2,New Jersey,Hoboken,Hudson,Deleted NPL Site,-74.034444,40.746111,12/23/1996,9/25/1997,9/19/2005,952,6/28/2007,9/18/2007,"<a href=""https://semspub.epa.gov/src/document/02/363466"" target=""_blank"">NJ0001327733 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204030"" target=""_blank"">Grand Street Mercury</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1996-12-23/pdf/96-32352.pdf"" target=""_blank"">12/23/1996 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2007-09-18/pdf/E7-18363.pdf"" target=""_blank"">09/18/2007 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25095.pdf"" target=""_blank"">09/25/1997 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2007-06-28/pdf/E7-12450.pdf"" target=""_blank"">06/28/2007 (PDF)</a>",,No,,,,,1064
-8283747.17824562,4950058.50445999,,"Cornell Dubilier Electronics, Inc.",50.27,NJD981557879,201112,1493,2,New Jersey,South Plainfield,Middlesex,NPL Site,-74.414167,40.576389,9/25/1997,7/28/1998,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363468"" target=""_blank"">NJD981557879 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0201112"" target=""_blank"">Cornell Dubilier Electronics, Inc.</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25094.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20154.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,No,,,,,1065
-8261050.35858727,4954619.25039583,,LCP Chemicals Inc.,50,NJD079303020,200455,1495,2,New Jersey,Linden,Union,NPL Site,-74.210278,40.6075,9/25/1997,7/28/1998,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363470"" target=""_blank"">NJD079303020 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0200455"" target=""_blank"">LCP Chemicals Inc.</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25094.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20154.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,No,,,,,1066
-8354744.18912528,4862552.17062742,,Puchack Well Field,50,NJD981084767,204096,1497,2,New Jersey,Pennsauken Township,Camden,NPL Site,-75.051944,39.976667,9/25/1997,3/6/1998,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363472"" target=""_blank"">NJD981084767 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204096"" target=""_blank"">Puchack Well Field</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25094.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-03-06/pdf/98-5725.pdf"" target=""_blank"">03/06/1998 (PDF)</a>",,,No,,,,,1067
-8259906.2168609,4887157.01911608,,Zschiegner Refining,50,NJD986643153,203757,1498,2,New Jersey,Howell Township,Monmouth,NPL Site,-74.2,40.145833,9/25/1997,3/6/1998,8/22/2016,1182,,,"<a href=""https://semspub.epa.gov/src/document/02/363473"" target=""_blank"">NJD986643153 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203757"" target=""_blank"">Zschiegner Refining</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1997-09-25/pdf/97-25094.pdf"" target=""_blank"">09/25/1997 (PDF)</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-03-06/pdf/98-5725.pdf"" target=""_blank"">03/06/1998 (PDF)</a>",,,No,,,,,1068
-8344323.46027263,4842154.73468781,,Route 561 Dump,50,NJ0000453514,203909,1510,2,New Jersey,Gibbsboro,Camden,Proposed NPL Site,-74.958333,39.83611,7/28/1998,,,,,,"<a href=""https://semspub.epa.gov/src/document/02/363476"" target=""_blank"">NJ0000453514 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0203909"" target=""_blank"">Route 561 Dump</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20155.pdf"" target=""_blank"">07/28/1998 (PDF)</a>",,,,,No,,,,,1069
-8302671.49168048,4945377.70381036,,Federal Creosote,50,NJ0001900281,204097,1519,2,New Jersey,Manville,Somerset,Deleted NPL Site,-74.584167,40.544444,7/28/1998,1/19/1999,3/31/2008,1032,3/5/2014,6/18/2014,"<a href=""https://semspub.epa.gov/src/document/02/363477"" target=""_blank"">NJ0001900281 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0204097"" target=""_blank"">Federal Creosote</a>",,"<a href=""http://www.gpo.gov/fdsys/pkg/FR-1998-07-28/pdf/98-20155.pdf"" target=""_blank"">07/28/1998 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-06-18/pdf/2014-14233.pdf"" target=""_blank"">06/18/2014 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-01-19/pdf/99-1020.pdf"" target=""_blank"">01/19/1999 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2014-03-05/pdf/2014-04885.pdf"" target=""_blank"">03/05/2014 (PDF)</a>",,No,,,,,1070
